Pathogen,Priority score,Priority order,Pathogen subtypes/names,Also known as,Pathogen Type,Priority type,Disease Type,Family,Priority,Disease,taxids,BRC's appearance,WasteWater,Afecting species,WHO,NIAID,ECDC,AFRICACDC,WOAH,CDC,FAO,EFSA,EU4S-DEEP,UKHSA,Number of priority lists,"Number of appearances (WHO, NIAD, ECDC)","Number of appearances (WHO, NIAD, ECDC, AFRICACDC)",Notes,NIAID Notes
Streptococcus pyogenes,8,59,,"GAS, group A streptococcus",Bacteria,"AMR/Nosocomial infection, vaccine-preventable",,Streptococcaceae,,,1314,,,,X,X,,,,,,,,,2,2,2,macrolide-resistant,
Venezuelan equine encephalitis virus,8,60,,Alphavirus Venezuelan,Virus,"Biodefense/Bioterrorism, Pandemic preparedness",,Togaviridae,,Venezuelan equine encephalitis (VEE),11036,,,,X,X,,,,,,,,,2,2,2,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Balamuthia mandrillaris,7,61,,,Parasite (Protozoa),Biodefense/Bioterrorism,,Balamuthiidae,,,66527,,,,,X,,,,,,,,,,1,1,,
Cyclospora cayetanensis,7,62,,,Parasite (Protozoa),Biodefense/Bioterrorism,,Eimeriidae,,,88456,,,,,X,,,,,,,,,,1,1,,
Entamoeba histolytica,7,63,,,Parasite (Protozoa),Biodefense/Bioterrorism,,Entamoebidae,,,5759,,,,,X,,,,,,,,,,1,1,,
Trichomonas vaginalis,7,64,,,Parasite (Protozoa),STI,STI,Trichomonadidae ,,Trichomoniasis,5722,,,,,X,,,,,,,,,,1,1,,
Trypanosoma spp.,7,65,,,Parasite (Protozoa),Neglected Tropical Diseases,,Trypanosomatidae,,Trypanosomiasis,5690,,,,,X,,,,,,,,,,1,1,,
Naegleria fowleri,7,66,,,Parasite (Protozoa),Biodefense/Bioterrorism,,Vahlkampfiidae,,,5763,,,,,X,,,,,,,,,,1,1,,
Brucella spp.,7,67,,,Bacteria,"Biodefense/Bioterrorism, Animal disease",,Brucellaceae,,brucellosis,234,,,Multiple Species,,X,X,,X,,,,,,1,2,2,,
Enterococcus faecium,7,68,,,Bacteria,AMR/Nosocomial infection,,Enterococcaceae ,,,1352,,,,X,X,,,,X,,,,,1,2,2,vancomycin-resistant,
Pseudomonas aeruginosa,7,69,,,Bacteria,AMR/Nosocomial infection,,Pseudomonadaceae ,,,287,,,,X,X,,,,X,,,,,1,2,2,"carbapenem-resistant, Multidrug-resistant (MDR)",
Staphylococcus aureus,7,70,,,Bacteria,AMR/Nosocomial infection,,Staphylococcaceae ,,,1280,,,,X,X,,,,X,,,,,1,2,2,"methicillin-resistant, vancomycin-resistant",
Caliciviruses,7,71,Norovirus,,Virus,Biodefense/Bioterrorism,,Caliciviridae,,,11974,,,,,X,X,,,,,,,,1,2,2,,Food- and/or waterborne pathogen
Coxiella burnetii ,7,72,,,Bacteria,Biodefense/Bioterrorism,,Coxiellaceae,,Q fever,777,,,,,X,X,,,,,,,,1,2,2,,
Orthoflavivirus encephalitidis,7,73,"tick-borne encephalitis virus-European subtype
tick-borne encephalitis virus-Siberian subtype
tick-borne encephalitis viruses Far Eastern subtype",,Virus,Biodefense/Bioterrorism,,Flaviviridae,,,3052465,,,,,X,X,,,,,,,,1,2,2,,Tickborne hemorrhagic fever flaviviruses
Francisella tularensis ,7,74,,,Bacteria,Biodefense/Bioterrorism,,Francisellaceae,,tularemia,263,,,,,X,X,,,,,,,,1,2,2,,
Orthohantavirus sinnombreense,7,75,,,Virus,Pandemic preparedness,,Hantaviridae,,,3052499,,,,X,,X,,,,,,,,1,2,2,,
Leptospira spp.,7,76,,,Bacteria,Biodefense/Bioterrorism,,Leptospiraceae,,,171,,,,,X,X,,,,,,,,1,2,2,,
Listeria monocytogenes,7,77,,,Bacteria,Biodefense/Bioterrorism,,Listeriaceae,,,1126011,,,,,X,X,,,,,,,,1,2,2,,Food- and/or waterborne pathogen
Human papillomavirus,7,78,,,Virus,STI,STI,Papillomaviridae,,,10566,,,,,X,X,,,,,,,,1,2,2,,
Streptococcus agalactiae,7,79,,Group B Streptococci,Bacteria,AMR/Nosocomial infection,,Streptococcaceae,,,1311,,,,X,X,,,,,,,,,1,2,2,"penicillin-resistant, macrolide-resistant",
Treponema pallidum,7,80,,,Bacteria,STI,STI,Treponemataceae ,,Syphilis,160,,,,,X,X,,,,,,,,1,2,2,,
Yersinia enterocolitica,7,81,,,Bacteria,Biodefense/Bioterrorism,,Yersiniaceae,,,630,,,,,X,X,,,,,,,,1,2,2,,Food- and/or waterborne pathogen
Histoplasma spp.,6,82,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Ajellomycetaceae,High Priority Group,,5036,,,,X,,,,,,,,,,,1,1,,
Paracoccidioides spp.,6,83,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Ajellomycetaceae,Medium Priority Group,,38946,,,,X,,,,,,,,,,,1,1,,
Cryptococcus gattii,6,84,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Cryptococcaceae,Medium Priority Group,,37769,,,,X,,,,,,,,,,,1,1,,
Cryptococcus neoformans,6,85,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Cryptococcaceae,Critical Priority Group,,5207,,,,X,,,,,,,,,,,1,1,,
Lomentospora prolificans,6,86,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Microascaceae,Medium Priority Group,,41688,,,,X,,,,,,,,,,,1,1,,
Scedosporium spp.,6,87,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Microascaceae,Medium Priority Group,,41687,,,,X,,,,,,,,,,,1,1,,
Fusarium spp.,6,88,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Nectriaceae,High Priority Group,,5506,,,,X,,,,,,,,,,,1,1,,
Pichia kudriavzeveii,6,89,,Candida krusei,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Pichiaceae,Medium Priority Group,,4909,,,,X,,,,,,,,,,,1,1,,
Pneumocystis jirovecii,6,90,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Pneumocystaceae,Medium Priority Group,,42068,,,,X,,,,,,,,,,,1,1,,
Talaromyces marneffei,6,91,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Trichocomaceae,Medium Priority Group,,37727,,,,X,,,,,,,,,,,1,1,,
Microsporidia phylum,6,92,,,Fungi,Biodefense/Bioterrorism,,,,,6029,,,,,X,,,,,,,,,,1,1,,Food- and/or waterborne pathogen
Madurella mycetomatis,6,93,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,,High Priority Group,Eumycetoma,100816,,,,X,,,,,,,,,,,1,1,,
